"SID","gender","age_wave1","age_wave2","age_wave3","group"
15,"Male",9.965776443,11.28268337,12.91991806,"Control"
85,"Female",NA,11.66324425,13.37713909,"Control"
134,"Male",10.59274483,NA,14.00410652,"Control"
225,"Male",9.711156845,11.46611881,13.00205326,"Control"
259,"Female",10.73511314,NA,NA,"Control"
307,"Female",10.68035603,12.02190304,13.74674892,"Control"
412,"Female",10.10266972,11.67419529,14.00410652,"Control"
517,"Female",10.89938354,12.23545551,NA,"Control"
554,"Female",10.94866562,NA,NA,"Control"
570,"Male",10.88021946,NA,NA,"Control"
575,"Female",10.63928795,11.98904896,13.50034237,"Control"
613,"Male",11.31553745,12.59137535,14.23682404,"Control"
616,"Female",10.87474346,12.06297016,13.43463421,"Control"
647,"Male",10.55989075,11.84394264,13.34702301,"Control"
751,"Female",NA,11.75906944,NA,"Control"
755,"Female",10.59822083,11.87405872,NA,"Control"
788,"Female",NA,12.89527702,NA,"Control"
802,"Male",10.69952106,11.98357296,13.57426453,"Control"
1170,"Female",10.54620171,12.0793972,13.55509949,"Control"
1274,"Male",10.37371635,11.63039017,13.1909647,"Control"
1348,"Male",10.11909676,12.44353199,NA,"Control"
1470,"Female",10.16563988,NA,NA,"Control"
1596,"Male",11.86310768,13.44832325,NA,"Control"
1714,"Male",10.7186861,12.26830959,13.9520874,"Control"
1745,"Male",10.83641338,12.18069839,13.57700253,"Control"
1837,"Male",10.66119099,12,13.61533165,"Control"
1908,"Male",10.09993172,11.34565353,12.87884998,"Control"
1938,"Female",10.48870659,11.80835056,13.64818573,"Control"
1994,"Male",10.24777508,11.54004097,13.13894558,"Control"
2031,"Female",10.44763851,11.63860416,13.20739174,"Control"
2159,"Male",10.75701618,12.02464104,NA,"Control"
2220,"Male",11.26899338,NA,NA,"Control"
2348,"Female",10.70225906,12.14510632,NA,"Control"
2442,"Male",10.33538628,11.62765217,NA,"Control"
2447,"Male",10.91854858,12.16153336,14.29158115,"Control"
2564,"Male",10.96783066,12.79123878,NA,"Control"
2583,"Male",10.11909676,11.74537945,NA,"Control"
2627,"Male",10.91307354,NA,NA,"Control"
2675,"Female",10.70773411,11.96714592,NA,"Control"
2718,"Male",11.34565353,NA,NA,"Control"
2819,"Male",11.48802185,12.82135487,14.22587299,"Control"
3000,"Female",NA,12.1779604,13.79329205,"Control"
3009,"Female",11.02258682,NA,NA,"Control"
4030,"Male",10.47775459,12.20807648,13.74948692,"Control"
4042,"Female",9.911020279,11.20328522,12.58590031,"Control"
4081,"Female",10.16016388,11.44421673,NA,"Control"
4267,"Male",10.74880219,11.9151268,NA,"Control"
4278,"Male",10.59548283,11.69062328,13.12251854,"Control"
4312,"Male",10.63928795,12.02737808,13.71936989,"Control"
4350,"Female",9.919233322,11.43326473,NA,"Control"
4359,"Female",10.20396996,11.38672161,NA,"Control"
4545,"Female",10.9787817,12.22450352,13.7002058,"Control"
4589,"Male",9.727583885,10.93771362,12.44353199,"Control"
4789,"Female",9.8754282,11.11293602,12.43257999,"Control"
4811,"Female",NA,12.0958252,13.64544868,"Control"
4832,"Female",10.40109539,11.74811745,NA,"Control"
4906,"Female",10.37097836,11.69883633,NA,"Control"
4970,"Male",9.58247757,10.87748146,12.19986343,"Control"
4987,"Female",10.42573547,11.69883633,12.96646118,"Control"
5127,"Female",10.43394947,11.75359344,13.07871342,"Control"
5270,"Male",10.10814476,11.30458546,13.13894558,"Control"
5363,"Male",10.39561939,12.0793972,13.59069157,"Control"
5506,"Male",10.20670795,11.71800137,13.38809013,"Control"
5515,"Female",10.50239563,11.88774776,13.46201229,"Control"
5519,"Male",10.08624268,11.44695377,12.75290871,"Control"
5729,"Male",10.00684452,NA,12.72826862,"Control"
5856,"Female",10.31622219,11.52635193,13.00752926,"Control"
5932,"Female",9.861738205,11.54825497,12.9253931,"Control"
5936,"Male",10.46406555,11.72621536,NA,"Control"
5965,"Male",10.08897972,11.29089642,12.87063694,"Control"
6047,"Male",10.11909676,11.45790577,12.87884998,"Control"
6102,"Female",10.37645435,11.63860416,12.78028774,"Control"
6194,"Male",10.220397,11.38672161,12.87063694,"Control"
6279,"Female",10.08350468,11.21149921,12.7583847,"Control"
6294,"Female",10.25325108,11.77275848,13.1991787,"Control"
6299,"Male",10.42299747,11.74537945,NA,"Control"
6433,"Male",10.71321011,12.12867928,NA,"Control"
6490,"Male",10.00958252,11.12662601,12.45995903,"Control"
6589,"Male",10.44763851,11.71252537,13.05681038,"Control"
6618,"Male",10.15742683,11.49897289,12.77481174,"Control"
6657,"Female",10.02327156,11.23340225,13.30047894,"Control"
6751,"Female",10.02600956,11.35934258,12.7638607,"Control"
6781,"Female",10.08624268,11.51813793,12.87884998,"Control"
6812,"Male",10.41204643,11.71800137,13.28952789,"Control"
6820,"Male",9.664613724,10.8911705,12.48459911,"Control"
6822,"Male",10.68309402,NA,NA,"Control"
6909,"Male",9.730321884,11.04996586,12.74469566,"Control"
7019,"Male",9.99041748,11.13210106,12.58042431,"Control"
7020,"Female",9.998631477,11.01984978,12.50650215,"Control"
5685,"Male",9.919233,NA,NA,"Control"
